Credit Union Name,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NUMBER OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,TOTAL OTHER LOANS,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
Peer Credit Union average,2537615536,2155021775,152917.5411,495216532,22658.42003,457086513.8,1951904.525,90443.37369,1812628339,1932040894,207427957.2,11439.93572,0,354569084.5,97760.76682,9040.016442,48141.9716,2022,4
Credit Union One,494121993,452440186,47560,168742244,5121,105317852,160791,20318,320723136,426587796,40747722,6782,0,53365266,32754,2587,9187,2014,2
State Credit Union average,283348372.7,252232609,24620.78723,82297500.3,4055.659574,34093750.62,102456.0851,14739.46809,184770244.5,232762478.7,31561715.17,2998,0,37763426.7,15636.04255,1905.829787,6628.361702,2014,2
Peer Credit Union average,1188613280,1001439289,95496.35265,248279621.8,12463.01159,130602635.4,852196.5911,54386.95364,755095943.4,871582993.9,89228584.25,7844.089404,0,141604106.3,55133.0447,4799.938742,35252.49834,2014,2
Credit Union One,731110079,658511998,60960,201692538,8606,198621532,290837,29298,561479869,644460917,65426884,6123,0,106546616,42299,3567,12260,2018,1
State Credit Union average,445286896.4,387714671.1,34943.57447,116283053.5,5824.085106,70310668.45,195771.8298,21887.55319,321464804.3,365119672,67340328.96,3451.489362,0,61931421.89,22820.93617,3632.787234,6802.787234,2018,1
Peer Credit Union average,1658616901,1398044024,122532.8867,339671357.1,17640.47735,197918842.7,1512632.392,72468.27994,1168572683,1232586198,160740883,9093.867314,0,227488013,65717.01133,7703.640777,60446.61327,2018,1
Credit Union One,1288133180,1144003959,75821,313339866,10300,424201487,233107,35627,990657480,1134007206,130196211,6617,0,164391097,58877,5161,11204,2023,1
State Credit Union average,756200142.8,654187518,45650.47826,161417382.3,6607.521739,183645741.4,245241.2826,25150.6087,491007769.9,619618177.4,91032331.54,4660.043478,0,91686186.26,31638.26087,3867.391304,15040.13043,2023,1
Peer Credit Union average,2660414009,2263089323,157808.0793,468250568.7,23385.04355,474580537.5,1906575.281,92697.60342,1877328233,2000996550,212232454.6,11869.53655,0,369830449.3,100929.2395,9037.553655,56329.39191,2023,1
Credit Union One,460217320,420987207,44435,158007477,4229,90285613,247613,18226,258021285,391874212,35470753,7098,0,42469414,30093,2436,5307,2013,1
State Credit Union average,251745181.4,224918212.7,22837.56522,72192087.54,3469.195652,30513695.52,99279.06522,13142.43478,154687372.4,200545612,26028553.43,2965.76087,0,33140770.17,14134.32609,1689.065217,6993.782609,2013,1
Peer Credit Union average,1152141545,987114591,91958.5677,254550650,11035.30179,127470434.6,739632.5661,49055.33442,673761839.1,861421287.4,71327295.86,8295.414356,0,120097863.2,52001.94127,4210.257749,34947.04405,2013,1
Credit Union One,1163826986,1045421233,71639,186464539,10450,434535094,170343,32532,740784284,1031194534,93874187,5278,0,151303962,55356,4163,0,2021,2
State Credit Union average,674467089.4,598917031,40502.41667,154546539.4,5871.770833,172810680.2,140384.1458,22559.95833,375921175.7,575823509.1,67038180.48,3782.375,0,74494427.92,28171.5,3423.416667,5982,2021,2
Peer Credit Union average,2288552482,1974700508,139868.9892,472320595.1,19351.73725,394420931.2,1098632.904,78391.51777,1409151995,1819540263,161133927.3,10618.90417,0,270738577.2,88628.80371,7865.700155,28099.58269,2021,2
Credit Union One,1239514751,1112091302,72540,187991854,10177,482673118,172020,32638,773084005,1097353321,92936730,5177,0,150576276,56814,4102,0,2021,4
State Credit Union average,620903687.1,552622688.4,35399.63043,140766959.7,4137.630435,162276932.1,154176.5217,18770.04348,330585096.2,535404755.8,55287249.57,3312.630435,0,55865606.02,26248.06522,2661.23913,3126.326087,2021,4
Peer Credit Union average,2386808943,2064660997,143704.3612,503154424.2,19920.38295,425779017.1,1488100.668,80445.6031,1490668949,1917578338,164232006.2,10517.66357,0,287622813.3,91488.84186,7848.075969,24795.28062,2021,4
Credit Union One,574686908,518908595,51888,181363159,6424,125668900,157905,23317,407198716,502374018,43490909,6414,0,69229816,36367,2705,17976,2016,1
State Credit Union average,364682628.8,322668530.1,30499.54348,106116767.3,4809.434783,46989771.93,110130.1087,18156.91304,247414906.7,301841414.2,48234961.72,3376.347826,0,49088369.83,19668.06522,2653.891304,6251.869565,2016,1
Peer Credit Union average,1399887564,1173138193,106828.1593,293781207.6,14620.36585,168611415.3,985769.4472,63072.25691,932266999.3,1032848190,120490861.7,8509.738211,0,177459857.2,63263.83902,6073.447154,37066.03252,2016,1
Credit Union One,807342654,711230818,66958,168927016,10303,263613369,378397,36444,665972928,690231932,74107979,5686,0,139022878,47424,3707,18067,2019,3
